CustomerID,FirstName,LastName,Email,Phone,DateOfBirth,Gender,OrderDate,OrderTime,OrderSource,OrderType,DishOrdered,OrderAmount,FeedbackRating,FeedbackComments
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,09/06/2023,9:15:08,POS,Takeout,"Well Tequila Dbl, Absolut Citrus Dbl, HH Red Wine Flight, Woodford Reserve, Brownie Bomber",88.95,4,Enjoyed the HH Red Wine Flight. Well-made and tasty.
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,05/01/2023,16:22:35,QR,Takeout,"Bulliet Rye Dbl, Ketel One Dbl",50,2,Found the Bulliet Rye Dbl lacking. It's just okay.
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,16/11/2022,11:42:13,Kiosk,Takeout,Side Fries,6,4,Really liked the Side Fries. Quite satisfying.
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,25/05/2022,19:42:42,Call-in,Takeout,"HH Mojito Flight, Beer Flight",31,2,Beer Flight was mediocre. Could be much better.
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,04/05/2022,16:05:42,DoorDash,Takeout,"Coke, Empanada Flight, Empress Dbl",50.95,3,"Empress Dbl was decent, but I've had better."
1,FirstName1,LastName1,customer1@example.com,815-759-9160,01/05/1992,Other,13/12/2021,20:26:53,Call-in,Takeout,"Bluemoon, Wingman",22,1,Unsatisfactory experience with Wingman. Needs improvement.
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,21/04/2023,18:55:26,Call-in,Delivery,"Fry Flight, Casamigos Anejo, Paloma, Heineken 0.0",52.95,3,Average experience with Casamigos Anejo. Nothing special.
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,03/11/2022,16:28:12,POS,Takeout,"HH Tasting Wine Flight, Two Chicken Tacos, Chopin",37,2,Found the HH Tasting Wine Flight lacking. It's just okay.
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,13/09/2022,15:32:10,Kiosk,Takeout,"Hakushu 12, Cabernet - Flights Founder's Label - Glass, HH Space Dust, Well Vodka Dbl",73,5,Amazing experience with HH Space Dust. Highly recommend it.
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,07/08/2022,10:52:08,POS,Takeout,"Wingman, Well Rum",25,3,Average experience with Well Rum. Nothing special.
